CHEK1,IKZF3,ASPM,CAMK1D,FNDC3B,EHF,RSU1,EML4,GTF2A1,CCND2,RNF19A,CDT1,MAD2L1,UBE2S,EEA1,CRIPT,KLHL7,RAB28,CCNK,LUM,PLXDC2,CDK6,ACADSB,DTWD1,Sample_id,Response
4.046459396,3.763661683,4.986973259,5.128393317,8.022193104,4.186748477,7.733885362,6.788277112,4.735000126,8.59107122,6.255855115,4.778857153,4.118593414,7.321062172,3.615928418,5.288865549,4.336238804,3.685741826,5.096250872,10.10008025,6.345496224,4.933987493,3.329379591,3.949077259,GSM549243,Non_response
9.22582617432544,9.93400102057984,8.62618356882716,8.48815897607526,10.9449844571351,12.0307165707587,11.4092574828025,10.1105818045414,10.2409604632469,11.2201328637101,11.6071080589303,10.9842925851145,10.9836083312104,10.3057310465463,9.53732905762919,9.20023383802578,10.8589135926552,9.87366913503846,8.89549437105023,12.7057713226463,8.72590805780986,9.36846237353979,8.07985079679682,8.19426241450602,GSM158260,Response
6.59842385589833,6.39926723005958,5.8100478047274,6.21376214235975,8.77034714758901,8.2213671793002,7.78082808724546,9.1878753610618,9.16261794056795,9.17605353778734,9.79892630149862,5.31898649360483,6.62367694912146,5.34836012688656,7.72499534344172,8.64951522304425,7.68870746481433,8.52792571665482,9.68936376560253,10.9709832478749,9.89648730527343,7.15713498144731,8.60318677416349,7.16272433741749,GSM809191,Non_response
4.642749387,3.876068763,5.118583841,4.639401294,7.623353112,6.888414974,6.404014126,6.14713946,4.261191165,6.827067967,5.030654064,4.754496699,5.078356439,7.112087497,3.658618695,4.76563981,5.217658228,3.716795609,5.250042048,3.452805112,3.938783589,5.491398197,3.433966619,3.670527998,GSM590882,Response
7.31253948935664,4.77533390874284,8.48881529415258,8.60375181863521,8.71807733826445,8.89356386696135,9.82418567342411,8.16651429977548,8.48410265544533,6.67598383326127,9.46596413985328,5.92688907460542,7.60388000479194,7.06099291272969,9.25599919889952,8.08694904701854,6.44857238293265,6.56029762913575,8.63179278702139,8.55907378950358,5.83947559585544,6.48656228978789,9.42685522451322,6.51359606066179,GSM2193358--1,Response
6.47855610098255,6.53163322294437,9.25731470447103,7.83756681391396,9.89433172567984,11.521242847428,8.56956322141884,10.2734604340878,8.18832615185986,11.2268065801766,7.15023495164731,9.15013185495701,8.07058221590358,9.69736581027363,8.87988406557805,8.18941901679537,6.48498116158731,7.36545846749052,9.03711239167658,11.5037834170798,6.27627286958233,9.50025577242678,5.83214818989988,7.04929009041211,GSM1875915,Response
4.050258574,3.749737359,4.59466347,4.691369829,6.231091783,5.458903636,6.696895035,5.305985594,4.832093189,6.859627165,5.513085059,4.418014547,4.321249326,6.617584636,3.712122338,5.119158001,4.234584244,3.806598783,4.998972544,7.672143347,4.330805479,5.166861257,4.776487061,3.873744169,GSM508061,Non_response
6.05936386516739,7.88193495324073,8.06003066730014,7.29909910048301,10.5469063322598,11.0120881426298,9.83435059978909,9.50463739536413,9.31456001782508,10.1813412982109,8.94708366541832,6.66372350714753,8.99875502636888,10.0357080088251,8.73440495689163,8.30485229929231,8.40585252355348,8.94118367959833,8.93604272503657,13.1780093903081,9.83569864330524,8.42843364813427,7.2913088156261,7.15697233838957,GSM1619393,Response
7.08336195876769,7.57991340552151,5.70980163720438,7.70886134159129,10.0239800149492,9.53423521087161,4.34768539755058,9.16856942789689,6.49705247531726,7.07131256922627,7.23710309607264,8.91030356033492,5.38004010393931,5.42830392134794,6.82045132816516,7.72534495557752,7.59690051949571,7.81150893546321,8.84207867963421,4.83942898800204,7.69498391886844,8.36749567452608,6.73411782633849,7.71195229863796,GSM1525218--42,Response
5.55134523895038,6.59024449424695,8.26610663589292,6.09332565563711,8.98096968297337,9.90480600753887,8.97997471193154,8.05436085579669,8.14274617653084,8.42884802242119,8.77437629100067,6.30550349704265,9.22863300901144,9.59054782834025,8.0203327734219,6.93093158851338,7.5203176073201,7.8319872622868,8.74879920099148,11.8735307984949,8.40503798227729,6.71762904836738,9.45075177577647,6.68194490990386,GSM4171553,Response
