CHEK1,IKZF3,ASPM,CAMK1D,FNDC3B,EHF,RSU1,EML4,GTF2A1,CCND2,RNF19A,CDT1,MAD2L1,UBE2S,EEA1,CRIPT,KLHL7,RAB28,CCNK,LUM,PLXDC2,CDK6,ACADSB,DTWD1,Sample_id,Response
2.90027621718123,3.87566136813695,4.87008718797085,4.32803627413064,4.99323275633723,10.1467108497121,5.45295939500458,5.66976166463015,5.77660114532096,7.85851386994297,5.51562890417028,3.73695723133467,4.18494462736006,2.71370214771699,3.66174747160046,5.77067459406129,3.15161511784284,5.21856550902295,5.74163188700147,8.63505513010549,6.99258652474873,4.96476157386603,1.84332515890235,4.80922653349977,GSM1233109,Non_response
2.71481672415869,4.06989073223433,5.16784504702399,4.0307745937626,5.67145186618782,5.89330422395148,5.83155817819249,5.93337762423999,6.37018259062437,7.4020429745301,5.87749525313191,4.37411695413807,3.35485219865135,2.68391709714246,4.76536724776994,5.98700931482305,2.79454685423233,5.66392706883246,6.48950437083502,9.02509663355934,7.84986624207358,4.36107223114042,2.28067709623073,6.14602203327226,GSM1233110,Non_response
3.02734473798833,4.38396071038748,6.10502967897624,4.66302288389181,5.89153458597955,10.0919773244291,6.26659193403887,6.29400054035418,6.62134005302728,6.7968448230624,6.62429042901456,3.78540852737474,3.9002820926044,2.96148068843351,4.91766084713628,5.678180794556,5.49039256692116,6.96067053630257,7.66830425545549,9.5127964746994,7.32828353783955,6.53183159910383,3.22014957374638,4.99271554470155,GSM1233113,Non_response
3.61480280348552,4.15469853463715,4.2394298956198,4.97763217432438,5.41070104361542,8.61978726887669,6.92309019616929,6.36636874394721,5.47114916149496,6.9842339747303,5.36009480342946,6.21926934155578,3.80093319417744,3.01936662336596,3.59029844173908,4.91513531034584,2.74221163802504,6.55931495082182,6.19178723436846,7.32470915827419,5.9699813487786,8.43512615595524,2.03738571192205,5.03242324759007,GSM1233114,Response
3.01092881286392,3.88397470785796,4.22804110642203,5.65464346900019,6.63443761667091,9.42156305878437,7.20016700408831,6.12115054821573,5.64398578198631,8.00323741740954,5.41795558212175,4.8758150247338,3.1291705194398,2.58079995343509,4.66093439413449,6.02304166803437,4.2112796109582,7.1956090035381,6.63432561218491,10.3196830502493,8.06558074709196,6.03897361126713,3.23058855808091,5.31298660547882,GSM1233116,Non_response
4.0404701310147,4.37943342746643,4.17758049197803,5.75141058705088,6.30304235866604,8.97669760724677,7.02655330426053,7.31419122436218,5.60702395642913,8.12203788662595,5.48597524348597,3.83279601348094,3.98938146719053,3.4234867914073,3.56992142179207,5.71861513745301,4.01881440236514,5.60602857136842,6.46552068617508,10.1491163117326,6.93327475750121,5.74131511411987,1.74712630858083,4.73597570628357,GSM1233119,Response
3.76244210026775,4.21474705506763,5.0763961653528,4.88822973481352,6.49417335718314,10.2119966555187,6.34898009302152,7.4816539001339,5.96123277531891,7.17512971305476,6.58614719845389,3.31771889168763,4.22901323060013,4.13416875383054,5.08629940178052,6.24828369370205,4.04463411503209,5.3644409032087,6.82952282440977,7.77288220890762,5.97420155364976,7.77254064924056,1.76235076011177,4.27577061950974,GSM1233120,Non_response
3.27543171150901,4.01177685194789,3.54646878951253,6.33093075207457,6.49831029236652,9.4378044872368,6.04880364706237,6.39507198821121,5.91168411899707,7.24885481517551,5.85257523812046,3.10832271672309,2.7284970059156,3.03422937802786,4.24642115847829,5.05063686032953,3.29680280354133,5.47776786539145,7.33005225752581,10.1205237743812,7.12753163228902,4.77862531996529,4.16794168857812,5.12375905077326,GSM1233121,Non_response
3.39620994098002,4.87357134017018,3.42779026472271,5.09610720908951,6.6529731646137,10.4163809499837,5.27398945514927,5.28039737371541,5.87104326667852,6.91758456746766,5.48398252180823,3.76990763255786,2.96290079790536,2.95247933459895,4.77684857465672,5.51522509122141,2.88117464218993,6.34471400469921,6.85597319641346,8.8001308537542,6.86920076732428,6.27912104055456,1.8460830656954,4.67997128480697,GSM1233123,Non_response
3.12048544663883,4.45957446207411,5.31445671720648,5.62779051077209,5.98031686162803,7.50146754572713,6.8679521285375,7.07846380315369,6.17556194284376,7.42684523715409,5.71045425047438,3.56651244549973,3.64635285774778,4.2743181322786,5.40936240898831,5.49468556544065,2.97768132547626,6.77051346271066,7.08913710100742,9.6585054489085,6.95572469848498,5.20627346498206,1.3152890947033,4.82347387732784,GSM1233124,Non_response
3.16483681763893,4.8160587940699,3.87277333798646,5.56734901484664,6.29272338629265,5.97523607251621,6.11648868508643,5.34274531417419,5.64382736608163,8.62225571286987,5.41024843465837,3.43168917409032,3.38893274908574,3.46126654632073,2.76442747389985,5.91285892569159,2.87497781209253,4.70490680267817,6.15799503269679,8.02117337528377,6.33868629513199,4.61862021234326,2.11967350703405,5.56271547912553,GSM1233125,Non_response
